report_id,report_year,facility_id,jurisdiction_code,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,reduction_type,reduction_technique_id,reduction_technique_name,year_installed,comment_by_facility
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Increased use of third party audits to help with preventative maintenance. Environmental Management Plan in place. Additional surveys incorporated to ensure environmental compliance. Digitised of preventative maintenance.
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,24,"Modified process, equipment, layout, or piping",,New ducting installed on site to capture more vapours. Thermal audit performed.
548306,2022/2023,552936,SA,SA0467,Finniss Park Piggery,A.L GOSS & A.W GOSS & G.J TISS & J.M TISS,192,Pig Farming,Cleaner Production Activities,36,Other modifications / practices,,Local earthmover turns straw bedding waste into compost
543006,2022/2023,674366,SA,SA0748,AAA Asphalt PTY LTD,AAA ASPHALT PTY LTD,1709,Other Petroleum and Coal Product Manufacturing,Pollution Control Devices,2,Fabric filter/baghouse,2021.0,
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,27,Installed overflow alarms or automatic shut-off valves,,Scada monitors oil levels on most equipment and will shutdown if too much oil is lost. Scada alarms are in place for hydraulic brake systems which shut down system if pump starts exceed X number of starts  which reduces oil spills from litres to millilitres for this system.
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,E&C department inspection schedule and other department inspections
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,Water sprays used on conveyor and transfer points
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,36,Other modifications / practices,,Variable height stacker
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Pollution Control Devices,11,Wastewater treatment,2009.0,All sewage waste is treated at the on site Sewage Treatment Plant
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Pollution Control Devices,15,Dust monitor,2016.0,There are 8 x depositional dust gauges on site and 4 x PM10 E-Samplers and 1 BAM (PM10)
