report_id,report_year,facility_id,jurisdiction_code,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,substance_id,substance_sort_order,substance_name,air_point_emission_kg,air_point_eet,air_fugitive_emission_kg,air_fugitive_eet,air_total_emission_kg,water_emission_kg,water_eet,land_emission_kg,land_eet,suburb,state,postcode,latitude,longitude,pivot_facility_name
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,40,42,Ethyl acetate,,,10.2618,___4_,10.2618,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,42,44,Ethylbenzene,,,31.9623,___4_,31.9623,,,0.611306,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,47,48,Formaldehyde (methyl aldehyde),,,0.0217661,___4_,0.0217661,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,49,50,n-Hexane,,,16.5504,___4_,16.5504,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,50,51,Hydrochloric acid,9.57336,___4_,,,9.57336,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,51,52,Hydrogen sulfide,,,78.3554,___4_,78.3554,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,52,53,Lead & compounds,,,,,,,,0.664004,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,55,56,Mercury & compounds,0.00218261,___4_,0.00145507,___4_,0.00363768,,,0.00632385,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,59,60,Methyl ethyl ketone,,,31.6725,___4_,31.6725,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,60,61,Methyl isobutyl ketone,,,11.6032,___4_,11.6032,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
